[786.603455,22.226681]
[71.431274,500.382233]
[786.804565,499.737946]
[406.646301,178.622360]
[287.480682,432.377869]
[772.617310,499.846802]
[249.641327,434.640564]
[433.693604,290.427063]
[442.589630,168.426910]
[165.248123,384.960724]
[442.018707,195.726410]
[312.199860,416.969147]
[572.169189,375.946777]
[548.762756,393.497131]
[381.640320,262.502014]
[312.201538,416.963776]
[446.765564,171.922653]
[454.023529,208.886795]
[516.621704,500.335297]
[252.550842,423.026031]
[606.562012,391.337921]
[312.202118,416.967499]
[287.477570,432.373291]
[530.484375,387.447144]
[187.947250,402.567291]
[548.719482,393.486725]
[458.512726,191.260010]
[572.209290,375.947662]
[332.445953,395.028900]
[381.641174,262.501556]
[607.153259,390.960327]
[573.882446,344.614624]
[336.975037,359.536591]
[332.576843,376.636108]
[406.589783,178.644592]
[302.276276,419.906616]
[287.481812,432.374847]
[176.232651,381.098602]
[354.618225,409.706970]
[606.560913,391.338684]
[530.504761,387.451416]
[249.545853,434.551453]
[570.908386,393.794678]
[311.882782,356.026886]
[626.297058,345.847839]
[606.560852,391.339050]
[276.699280,423.391479]
[297.219513,408.842712]
[571.547180,393.639008]
[332.430695,395.048950]
[287.482544,432.374237]
[572.165955,375.948273]
[381.643768,262.500916]
[302.277588,416.878326]
[335.842438,413.289978]
[327.727509,454.752960]
[328.889984,423.418518]
[417.695312,500.242126]
[244.578537,415.834564]
[381.919556,262.187103]
[266.475800,421.552887]
[376.145721,226.527542]
[616.735901,374.713776]
[572.027161,375.917023]
[351.583435,419.082611]
[325.698486,500.222473]
[448.157379,197.999649]
[433.381317,239.924545]
[587.791748,302.715485]
[312.843872,329.824982]
[594.598145,350.399658]
[598.093689,290.443665]
[332.429840,395.049683]
[606.386414,365.158813]
[598.254272,310.766785]
[222.492233,410.620300]
[433.695831,290.426422]
[373.661469,386.907806]
[433.343414,240.135681]
[276.017822,398.149902]
[332.520782,376.617371]
[187.951721,402.569519]
[438.830048,209.667786]
[618.077759,357.420197]
[416.514923,306.208618]
[574.386963,360.442383]
[332.515991,376.616089]
[332.431702,395.047638]
[339.121216,358.257812]
[419.586334,500.241302]
[555.098877,376.012939]
[192.678253,382.485870]
[433.705933,290.432922]
[431.214142,228.409424]
[618.009216,357.421326]
[388.573059,500.249634]
[401.138855,300.096680]
[490.572205,443.264313]
[192.666107,382.484344]
[631.891479,304.313538]
[608.645386,340.100464]
[184.561844,385.089508]
[441.693268,259.224213]
[249.548416,434.551514]
[355.759308,429.081848]
[339.455994,357.853821]
[587.801208,302.702911]
[516.545532,421.626740]
[513.722778,386.001038]
[582.589722,331.506348]
[541.367432,388.688995]
[192.670609,382.485016]
[314.460876,305.340149]
[458.486847,191.187271]
[433.717377,290.442993]
[252.992188,379.624451]
[442.587402,168.425674]
[602.923401,327.323761]
[354.618317,409.781464]
[388.580933,500.248627]
[441.655548,259.204742]
[590.827332,272.402100]
[452.559326,229.645569]
[532.595093,375.234192]
[416.344513,243.429794]
[406.768707,381.315002]
[325.512360,357.156342]
[251.551315,378.468964]
[772.863342,22.519514]
[572.193359,375.934906]
[311.453430,356.468750]
[71.548584,22.533146]
[448.452759,173.526825]
[484.404938,365.738800]
[481.497070,446.051392]
[417.875885,199.688950]
[520.921509,363.227142]
[520.830322,363.367798]
[438.522125,437.428436]
[251.551788,378.468567]
[543.256592,357.062714]
[532.443787,311.317413]
[379.071442,293.305817]
[503.409760,387.287201]
[500.429108,355.136169]
[318.360901,319.302643]
[593.136658,331.260101]
[401.064056,287.073944]
[534.635803,386.650208]
[487.055420,411.860077]
[275.778717,397.993500]
[454.027557,208.896454]
[602.832336,327.497955]
[163.434616,363.701599]
[300.258209,425.947388]
[389.751099,500.249329]
[417.913818,429.098602]
[500.267242,375.791229]
[561.981750,346.970245]
[492.182434,450.529419]
[287.477570,432.373291]
[313.327911,372.582672]
[583.559570,363.327271]
[445.405304,199.178711]
[437.860168,269.927643]
[441.651978,259.199066]
[219.284424,422.183411]
[333.485382,294.737579]
[293.955780,407.103607]
[254.228790,413.402649]
[417.693939,500.248047]
[360.285889,394.279388]
[407.683228,383.650543]
[416.554779,355.379028]
[300.773376,317.604645]
[410.621429,210.633194]
[413.577118,318.735565]
[401.044556,287.059235]
[401.241333,256.827301]
[270.527771,409.712616]
[351.171936,353.093506]
[520.776306,362.519165]
[416.596008,306.307800]
[398.429871,500.262329]
[381.912415,262.191833]
[334.413818,294.313141]
[438.286194,309.970490]
[424.504486,189.332092]
[294.439148,373.801056]
[415.651245,199.762146]
[529.554871,376.213501]
[296.002716,357.662598]
[566.134644,358.606750]
[609.128418,248.967743]
[302.024353,393.825104]
[356.408142,285.323334]
[468.913025,385.014587]
[417.694092,500.247772]
[208.557724,393.025848]
[503.437347,387.754272]
[286.530182,379.914642]
[416.551025,306.230713]
[610.355286,307.895447]
[419.586823,500.240448]
[403.952576,500.240326]
[421.512238,230.645004]
[166.158707,350.277161]
[368.868774,209.642975]
[414.090698,433.713989]
