[182.952988,226.449417]
[178.897644,259.822144]
[161.937225,261.787415]
[182.959045,226.438477]
[181.116943,253.345428]
[182.986603,226.386032]
[266.651489,219.231537]
[273.815430,242.192444]
[163.458588,236.855713]
[142.997284,262.514465]
[166.078049,257.307922]
[218.455795,232.424011]
[179.051117,247.116318]
[231.451462,269.030914]
[182.950516,226.453369]
[216.781860,245.552078]
[199.221649,248.351028]
[163.379349,237.008789]
[195.553131,269.976074]
[199.944885,230.804230]
[163.335220,237.009109]
[182.960938,226.434921]
[144.577087,255.602783]
[218.455750,232.433548]
[255.001053,233.982193]
[232.746384,244.757401]
[144.253113,255.376572]
[298.178986,236.093445]
[218.457428,232.604309]
[182.986771,226.385864]
[144.798737,259.977905]
[-1.000000,-1.000000]
[218.449844,232.757996]
[217.189301,264.648560]
[143.142151,262.605774]
[265.082397,255.589401]
[199.930969,230.597977]
[244.135468,239.047775]
[216.828232,241.236328]
[244.910522,260.591492]
[143.948883,261.510315]
[143.322891,262.716003]
[163.588409,236.741531]
[217.716599,236.923767]
[273.822479,242.260330]
[179.333038,266.832947]
[266.144714,225.434219]
[132.494415,263.601379]
[265.077942,255.590485]
[132.521759,263.714569]
[156.706589,242.746124]
[231.346771,271.571075]
[232.699677,244.382248]
[153.558777,236.673615]
[164.153290,249.196350]
[265.100098,255.653030]
[199.930679,230.597672]
[230.486588,230.883392]
[255.007065,233.980881]
[163.390869,237.040802]
[251.893356,287.867950]
[232.695374,244.357864]
[265.097565,255.645523]
[132.514679,263.696167]
[232.876297,246.116592]
[218.455490,232.425293]
[232.756195,244.882462]
[200.464401,238.659470]
[217.843689,292.746918]
[124.245155,279.753021]
[132.512604,263.690857]
[298.184662,236.126312]
[144.559357,255.610809]
[132.508240,263.677094]
[122.601860,283.647644]
[273.823578,242.270752]
[168.867981,221.081818]
[276.298523,205.785934]
[200.133911,233.513702]
[216.835693,275.326019]
[254.989609,233.933228]
[153.707550,241.238846]
[252.212311,287.087158]
[199.929565,230.581512]
[298.181366,236.093002]
[122.905098,288.961761]
[200.448303,239.165741]
[237.329681,340.617981]
[200.116531,233.326202]
[393.477509,228.329819]
[144.227066,254.505768]
[163.331909,237.006714]
[248.439133,258.983765]
[132.511414,263.687744]
[256.660828,322.203094]
[259.564819,297.654297]
[294.864136,250.193390]
[130.494476,320.425781]
[145.820160,301.850006]
[4.133403,149.169159]
[152.981583,319.114441]
[278.304291,272.825684]
