[225.372986,168.991638]
[428.758575,93.312897]
[361.603394,293.629791]
[243.066879,155.967758]
[273.583557,478.453430]
[266.814545,254.866287]
[279.012054,128.937836]
[457.556641,274.963867]
[343.012634,240.122086]
[266.769836,254.898636]
[294.287201,456.319244]
[347.299835,104.878853]
[309.040955,256.186890]
[274.354706,454.641388]
[442.939240,253.104645]
[298.742310,357.792389]
[247.319626,282.582764]
[279.986877,341.760193]
[374.260376,58.173355]
[442.517303,253.905991]
[306.716736,259.537140]
[326.672760,252.218460]
[363.950989,33.479008]
[326.346832,252.889725]
[303.800476,256.148621]
[446.872162,257.015442]
[457.550720,275.241943]
[225.201065,423.173157]
[473.763855,288.637421]
[275.733948,408.686279]
[293.759033,254.882782]
[246.276016,282.459137]
[274.987946,431.471222]
[293.725952,254.918961]
[383.381653,250.358627]
[257.787964,362.421844]
[315.744904,101.156494]
[466.505157,283.064911]
[387.638977,219.399338]
[359.670166,128.123413]
[297.084747,115.228928]
[326.668274,252.409073]
[387.646027,219.319489]
[226.879745,467.712952]
[483.934662,295.855103]
[369.851929,266.305298]
[-1.000000,-1.000000]
[326.563110,253.338776]
[246.275040,282.457367]
[400.172638,235.503647]
[326.585846,253.260483]
[481.453918,301.722107]
[481.679016,301.157837]
[457.564362,274.898041]
[234.838333,189.332474]
[395.437927,240.895493]
[449.498108,265.958374]
[226.826080,403.157257]
[309.560455,132.886292]
[303.648865,255.768112]
[303.650146,255.774078]
[272.939667,160.338882]
[473.775513,293.070496]
[442.289642,254.291718]
[219.810638,443.470795]
[326.583923,253.407898]
[467.101593,294.915009]
[257.266479,384.751495]
[326.659760,252.317871]
[266.809570,254.871597]
[483.967804,295.157715]
[273.581024,478.451080]
[465.288452,287.236389]
[416.133881,218.640961]
[343.973633,245.124695]
[474.804779,289.032288]
[482.748993,313.387299]
[306.547668,259.573517]
[255.371765,475.218109]
[346.032867,239.082840]
[467.699860,280.201080]
[275.513397,385.867096]
[255.735840,452.371887]
[367.192261,90.405609]
[293.709198,254.913300]
[401.971985,218.942215]
[383.725708,248.554855]
[483.863892,294.245880]
[372.500122,270.859436]
[489.896820,327.943085]
[293.725372,254.916107]
[474.751190,289.853241]
[482.282410,301.000977]
[288.068237,283.854309]
[371.003601,237.818512]
[230.238907,449.088715]
[450.578766,263.478271]
[326.660095,252.298782]
[474.708862,289.829742]
[303.652832,255.755203]
[291.025726,146.667801]
[487.493286,317.145386]
[237.821732,339.250305]
[440.499451,265.444580]
[326.571167,253.213181]
[247.326126,282.587341]
[401.975464,219.000885]
[488.020538,315.445251]
[298.434082,255.643204]
[456.415619,282.085144]
[295.447388,408.370758]
[432.280212,249.691544]
[266.810120,254.871521]
[411.440125,238.135544]
[467.713287,280.187561]
[379.169525,257.391724]
[326.578674,252.810501]
[383.292725,250.355942]
[463.703705,303.230408]
[240.598892,472.377289]
[385.687653,238.676712]
[294.832550,433.099579]
[328.181824,118.848007]
[300.435699,306.214386]
[303.650055,255.772369]
[303.648956,255.765320]
[217.755005,462.559479]
[256.315063,429.695953]
[226.828110,403.159668]
[228.648209,445.941376]
[412.394531,67.120956]
[411.492310,229.593384]
[256.996887,407.203735]
[416.130646,218.660522]
[229.438400,358.604584]
[236.967529,137.601624]
[407.477173,301.693573]
[241.142395,450.167847]
[393.404724,259.759216]
[307.530853,256.478882]
[474.462982,288.542328]
[467.657043,280.369873]
[235.339493,361.301270]
[229.256760,381.742615]
[308.024353,81.289963]
[253.558914,115.582718]
[373.298706,219.428436]
[-1.000000,-1.000000]
[480.630585,307.679047]
[241.545074,428.064423]
[428.472076,250.616013]
[247.304031,282.576172]
[242.233459,406.143219]
[87.572266,360.655884]
[457.626831,274.834595]
[440.388702,259.822693]
[300.430542,306.266052]
[489.066956,307.441772]
[467.680878,280.105743]
[247.229797,282.539032]
[326.551331,253.294601]
[451.164948,261.736206]
[466.125275,283.915527]
[342.909424,292.685242]
[384.565247,249.995911]
[489.715637,308.020081]
[293.749268,254.932861]
[293.759216,254.888245]
[271.174774,108.926186]
[432.638367,249.425110]
[233.405991,336.771240]
[209.081161,277.369202]
[489.906097,328.008423]
[354.133301,72.575073]
[326.736572,251.856445]
[429.044495,250.165695]
[-1.000000,-1.000000]
[241.544815,428.062195]
[384.615936,255.253403]
[258.406921,340.214508]
[326.736725,251.782028]
[254.611053,173.529480]
[361.584229,293.586395]
[326.652100,252.796967]
[300.434143,306.245941]
[489.310852,306.892029]
[237.125229,338.872131]
[161.430542,207.138153]
[256.994568,407.198975]
[410.773926,231.279144]
[217.756226,462.561218]
[373.326965,219.291138]
[334.334320,87.113297]
[274.986237,431.470276]
[326.684448,252.534668]
[276.575073,363.141815]
[266.769226,254.899658]
[293.685455,259.287659]
[474.228607,291.280273]
[369.935760,252.487457]
[219.823608,443.479645]
[238.870026,384.037537]
[457.783722,274.017761]
[279.981934,341.756439]
[393.733002,242.127396]
[91.706367,345.913177]
[237.819656,339.251068]
[229.404007,358.569061]
[260.674408,142.516586]
[161.429123,207.127213]
[447.834656,270.353821]
[402.005157,273.216949]
[481.426147,303.510712]
[88.293541,375.064941]
[419.494690,288.324402]
[435.438965,235.171356]
[412.776947,246.125092]
[407.430450,300.333832]
[412.328125,67.121536]
[337.973633,247.177444]
[448.514038,274.446991]
[266.768433,254.900116]
[411.534027,238.186981]
[444.352081,315.601532]
[483.111084,298.995117]
[418.936584,303.025330]
[266.769714,254.899384]
[279.972198,341.750122]
[233.405685,336.771942]
[442.840057,253.210464]
[392.025848,277.022095]
[293.723022,254.918640]
[297.593292,176.821899]
[489.440247,306.847870]
[387.203094,75.610306]
[298.509796,259.363953]
[409.300903,280.296906]
[326.544128,253.202957]
[451.183350,261.686340]
[464.263641,290.988281]
[487.593048,318.883606]
[420.913483,231.079803]
[278.730194,312.875641]
[225.195190,423.163940]
[296.302429,384.090668]
[91.837547,345.729187]
[483.698792,293.569580]
[288.467377,90.164261]
[373.456360,272.618896]
[266.762207,254.908417]
[497.379547,343.159271]
[467.667023,280.282867]
[341.978424,248.133255]
[456.350311,279.292145]
[278.731720,312.876312]
[410.665314,230.568161]
[432.356842,249.602539]
[408.625916,263.777832]
[208.497559,173.613663]
[-1.000000,-1.000000]
[408.256866,281.276703]
[424.189758,230.901718]
[460.626984,325.046295]
[-1.000000,-1.000000]
[399.613129,286.760620]
[387.416260,28.723829]
[293.750916,259.238159]
[451.410126,331.518188]
[293.731903,254.920822]
[418.520477,245.026657]
[371.729095,273.894592]
[489.292175,306.872559]
[372.876160,267.112854]
[342.970581,255.137238]
[426.459595,283.229340]
[373.388367,218.993179]
[229.590317,358.763123]
[266.815369,254.866425]
[383.302307,256.358704]
[393.433716,248.577866]
[276.575073,363.141815]
[367.194733,90.392960]
[439.866943,339.208008]
[266.988373,270.148438]
[293.723083,254.921692]
[88.726273,403.450287]
[354.137848,72.578629]
[411.460388,238.605576]
[457.527985,275.223389]
[-1.000000,-1.000000]
[438.455750,251.927307]
[430.306091,250.203232]
[374.014832,272.052338]
[406.185425,253.187057]
[451.386505,331.939240]
[443.675201,302.307312]
[400.776947,48.006752]
[454.763763,309.235931]
[493.821625,320.636566]
[-1.000000,-1.000000]
[341.480499,55.266907]
[424.392975,320.147125]
[278.731384,312.876282]
[358.003265,236.018509]
[473.538544,350.352997]
[429.972961,331.345673]
[483.875854,296.287201]
[411.101593,238.156036]
[369.999237,282.756989]
[298.488281,259.367249]
[278.751434,312.897247]
[88.556259,389.426605]
[303.814697,259.393005]
[417.659790,210.334381]
[208.497406,173.613434]
[-1.000000,-1.000000]
[323.837799,63.070969]
[89.631798,331.176636]
[72.729851,390.499481]
[390.112335,283.757202]
[226.826233,403.157898]
[229.244339,381.726196]
[470.567688,331.611084]
[460.435760,325.151276]
[281.368713,254.284698]
[311.967133,276.059296]
[233.405685,336.771545]
[246.277039,282.462830]
[225.201843,423.175049]
[73.619003,419.366058]
[454.563599,362.168335]
[217.543869,143.900757]
[404.790833,208.648376]
[424.034668,320.742920]
[433.436035,209.571518]
[105.072121,405.577789]
[105.811920,419.424561]
[89.641418,331.178223]
[437.313141,310.087585]
[439.299561,305.608917]
[229.243423,381.724854]
[390.301208,208.722763]
[266.860626,255.231552]
[379.519196,255.954803]
[394.867523,294.649597]
[266.380035,197.998093]
[409.271179,239.139435]
[282.786652,187.296570]
[400.200348,286.464813]
[341.469788,55.269722]
[247.315430,282.583099]
[266.380249,197.986557]
[424.366760,313.267334]
[379.504791,255.969681]
[105.216408,377.587799]
[419.707916,274.358337]
[102.079315,314.082367]
[427.370056,297.535736]
[265.387634,303.444305]
[89.387825,417.593018]
[489.314331,306.897308]
[436.670319,292.851929]
[354.990570,265.097412]
[90.474777,432.513031]
[390.303223,208.721390]
[379.549194,255.938828]
[278.729614,312.872711]
[401.317566,99.848854]
[439.833282,339.335938]
[373.946106,271.705109]
[233.405273,336.771179]
[451.412811,331.490295]
[259.717651,308.490479]
[470.658844,331.586792]
[424.040833,320.760254]
[458.290039,343.849487]
[73.009842,404.939178]
[451.171082,261.675934]
[341.204865,149.077621]
[261.370911,319.569611]
