[58.478073,398.060242]
[80.319725,223.220200]
[810.294922,322.488525]
[640.618835,239.106171]
[427.283234,152.165817]
[411.482452,153.369095]
[427.288147,152.182816]
[-1.000000,-1.000000]
[658.008179,348.928680]
[614.895874,258.191559]
[810.287109,322.477173]
[80.347771,223.259872]
[374.494019,242.229385]
[408.205292,193.428497]
[440.950195,152.399643]
[664.695068,152.324356]
[473.658356,185.692520]
[631.163269,262.376709]
[397.701202,184.513321]
[665.264954,150.544983]
[802.129028,250.552551]
[677.454346,141.499283]
[397.680786,184.500900]
[440.952332,152.391006]
[411.533508,155.907272]
[814.811401,290.765808]
[411.536377,155.912186]
[628.040955,332.932251]
[473.667877,185.693680]
[534.471863,90.541969]
[473.657227,185.691269]
[411.492035,153.767044]
[662.993530,47.956429]
[642.446777,292.578461]
[631.168884,262.369995]
[137.262405,209.501175]
[525.096191,91.652664]
[397.674377,184.516968]
[677.233032,35.829617]
[411.502441,152.214249]
[626.796997,345.378815]
[360.630371,235.333740]
[427.286865,152.182404]
[665.260071,150.548965]
[661.019226,31.037516]
[677.452637,141.486069]
[626.797852,345.373596]
[810.287109,322.477173]
[440.958130,152.380371]
[273.755249,246.414337]
[397.672791,184.513306]
[583.268982,252.422028]
[783.958374,322.335846]
[494.168518,240.739471]
[114.025307,159.858002]
[6.581872,261.775146]
[817.735962,266.558258]
[766.889221,208.307007]
[548.470886,228.201614]
[763.178406,363.586639]
[579.794739,69.287132]
[496.834686,149.583603]
[817.744507,266.543823]
[440.950897,152.402832]
[639.942200,161.017410]
[523.383301,91.548134]
[657.996216,37.029285]
[468.170929,195.722824]
[772.912292,360.528900]
[114.938950,337.612122]
[810.287170,322.476868]
[411.511230,153.935547]
[642.460144,292.593964]
[518.919434,127.367813]
[664.698975,152.317230]
[662.852661,47.995235]
[454.142670,152.962051]
[696.955688,216.325623]
[409.035614,113.153877]
[579.778381,69.285614]
[194.612274,276.803986]
[664.694702,152.322601]
[137.297516,209.504181]
[-1.000000,-1.000000]
[665.247681,150.546295]
[409.295227,92.571579]
[644.365051,326.536499]
[427.271454,152.173706]
[766.883423,208.304062]
[764.608582,332.239136]
[820.052795,229.908752]
[420.474060,152.244431]
[147.711609,202.314316]
[109.081055,208.310287]
[677.239197,35.815285]
[109.075981,208.308884]
[255.618530,143.566498]
[440.876099,152.379913]
[664.029297,33.993050]
[641.035156,185.350479]
[524.192322,91.556366]
[814.112061,327.431854]
[420.373291,151.674179]
[526.025024,106.942078]
[454.012848,149.868805]
[534.478760,90.553123]
[516.878174,122.061516]
[519.102600,106.898193]
[519.007629,124.202431]
[198.582504,159.539139]
[239.676575,190.669281]
[129.021286,345.955688]
[810.920471,324.723480]
[689.409851,353.523987]
[799.749451,294.380859]
[457.934357,156.923279]
[139.268219,192.794678]
[460.463257,91.613960]
[662.950806,47.989647]
[811.432373,323.783997]
[677.379333,141.089355]
[456.071716,179.609756]
[729.664917,416.589325]
[137.273605,209.503448]
[501.091248,120.139824]
[810.291870,322.480072]
[804.368347,205.468353]
[500.381042,120.155312]
[498.092712,54.055878]
[662.962524,48.012474]
[199.330978,245.847046]
[99.496483,191.884445]
[664.657898,153.180832]
[128.023315,338.944916]
[714.544983,213.020981]
[644.365601,326.542725]
[460.608215,92.080009]
[665.247070,150.546631]
[639.643066,266.400513]
[722.110474,353.959198]
[677.235291,35.834282]
[670.012390,23.028614]
[780.242249,358.940613]
[820.022034,236.173126]
[661.344543,75.526100]
[551.189453,150.249725]
[614.896484,258.195984]
[834.110474,257.456299]
[633.402527,58.545109]
[820.474121,261.829865]
[513.331299,121.338966]
[677.336914,142.040146]
[819.018433,391.966400]
[577.136902,87.155304]
[80.320526,223.207397]
[551.176331,150.246429]
[632.578552,72.511612]
[662.932068,47.909668]
[653.576782,363.016724]
[413.205200,179.159973]
[531.043335,107.032822]
[730.067383,378.973755]
[752.174438,328.536469]
[727.890015,433.235474]
[142.231125,341.617432]
[834.371094,305.613586]
[523.385620,91.543709]
[440.950897,152.402832]
[779.612915,222.100693]
[168.957413,324.800293]
[828.242615,213.908905]
[810.457275,262.110657]
[736.571228,324.723419]
[450.239288,198.528076]
[449.866394,319.532318]
[-1.000000,-1.000000]
[628.017883,358.973022]
[525.094055,91.652359]
[799.696716,294.241760]
[802.087830,250.512161]
[837.507568,304.099976]
[828.230408,213.935760]
[516.700134,126.153473]
[509.978485,67.027130]
[-1.000000,-1.000000]
[736.577637,324.717896]
[538.018860,107.012466]
[664.709900,153.468414]
[677.372803,141.088196]
[449.301575,322.654388]
[524.193237,91.529366]
[659.049500,64.010193]
[509.783966,236.947372]
[677.247925,35.812614]
[626.485657,362.810699]
[523.390503,91.545540]
[738.923157,343.933777]
[8.253895,287.089935]
[500.388123,120.150101]
[814.813354,290.768311]
[736.576294,324.718658]
[194.600464,276.792725]
[664.695251,152.321594]
[653.885071,292.304932]
[566.044739,68.941032]
[653.884949,292.267273]
[114.929939,337.611725]
[677.397705,141.098175]
[118.034988,350.975067]
[662.972900,47.998619]
[-1.000000,-1.000000]
[520.941162,122.131935]
[-1.000000,-1.000000]
[374.496246,242.234619]
[780.020630,359.094818]
[464.793549,114.244873]
[527.942932,66.382614]
[837.496948,304.109283]
[693.966309,219.447495]
[120.489799,156.383087]
[644.364624,326.541504]
[810.992126,324.098938]
[776.367859,215.113968]
[663.385620,47.176067]
[190.592621,319.929810]
[632.212769,87.789413]
[157.924057,351.636841]
[494.169708,240.719559]
[805.368347,286.267334]
[727.893616,433.223511]
[835.039368,292.600494]
[663.044556,21.032724]
[560.510437,149.534531]
[708.737976,361.952332]
[516.894531,121.622757]
[697.409912,143.343704]
[663.395935,47.167347]
[31.994177,369.959259]
[662.893677,48.018063]
[559.313965,149.009644]
[783.979492,322.334778]
[460.541077,91.905792]
[780.246094,358.901306]
[120.242538,354.756714]
[663.393982,47.163826]
[784.625793,319.035980]
[677.376526,141.087433]
[432.774658,407.574829]
[168.758667,301.116730]
[374.496002,242.231293]
[37.480568,359.495087]
[580.254578,68.982788]
[171.359619,330.016144]
[86.497261,171.013184]
[-1.000000,-1.000000]
[12.072480,308.928833]
[525.087891,115.063866]
[524.038574,91.680099]
[662.014587,61.030811]
[813.603760,283.349213]
[665.999268,359.942444]
[352.554810,237.412277]
[806.716675,405.249542]
[772.912537,360.530396]
[594.980408,87.416824]
[8.253653,287.092346]
[837.507629,304.094818]
[460.484314,91.604683]
[713.427185,325.477875]
[663.035095,25.031620]
[194.592682,276.801025]
[185.184738,339.217133]
[642.462585,292.598663]
[501.099518,120.130417]
[641.046448,185.350861]
[660.031921,19.011877]
[489.426331,398.240814]
[668.995117,341.947418]
[836.065613,303.492554]
[184.882568,339.128326]
[651.993835,305.994141]
[806.876099,295.103851]
[810.294434,322.489319]
[470.944824,174.007385]
[665.974792,82.062355]
[120.243187,354.755219]
[739.281128,312.530487]
[689.401001,353.534302]
[640.390991,349.348267]
[689.405029,353.533203]
[702.092041,306.889099]
[-1.000000,-1.000000]
[693.613403,219.890472]
[746.129333,329.414520]
[696.919373,216.292648]
[547.847656,228.426285]
[645.005249,347.985504]
[712.873779,305.897675]
[548.470520,228.197968]
[534.140198,90.626175]
[66.432312,222.947052]
[68.219070,225.092804]
[-1.000000,-1.000000]
[653.406677,326.383179]
[-1.000000,-1.000000]
[632.620544,71.578094]
[824.445984,232.189285]
[777.103455,214.486786]
[654.015686,346.977600]
[96.476517,249.101654]
[721.004395,385.958160]
[644.368042,326.566956]
[513.327942,121.344971]
[559.836426,149.181183]
[171.582504,330.225525]
[829.054504,315.099335]
[712.874939,305.896637]
[120.456833,156.376221]
[118.019844,313.723022]
[632.579163,72.546097]
[666.989929,324.882324]
[257.150818,223.773926]
[823.407959,406.312103]
[120.259575,354.756317]
[677.450989,141.015060]
[498.115662,54.044987]
[602.307495,67.977852]
[579.776733,69.281448]
[830.097473,310.208313]
[592.308533,57.152508]
[653.478821,326.408661]
[516.995850,68.011154]
[460.602295,92.081268]
[553.087280,68.939041]
[409.300232,92.547340]
[137.810089,358.482056]
[810.265686,227.704132]
[667.034424,21.984970]
[523.969788,62.017651]
[778.653809,217.677628]
[171.752899,330.003387]
[642.461853,292.596588]
[828.233032,213.907440]
[235.681305,139.939148]
[144.848373,348.211243]
[460.550201,91.901726]
[470.998688,131.984680]
[811.725342,207.872559]
[114.919418,337.610382]
[538.892578,133.307083]
[714.489929,212.925812]
[811.169189,352.343506]
[761.776123,364.654449]
[817.202881,205.699966]
[612.286804,69.761482]
[657.023315,340.953156]
[629.843811,160.111618]
[668.032837,18.050301]
[13.055959,311.953735]
[449.953766,301.507141]
[350.975800,235.369095]
[775.007080,356.977295]
[17.983391,322.902374]
[35.124817,447.403656]
[610.491943,69.391533]
[629.849792,160.119965]
[780.040100,359.093811]
[689.409607,353.524780]
[560.465576,149.537109]
[780.137329,359.070160]
[548.468018,228.196304]
[8.257252,287.088348]
[811.159546,352.369110]
[162.016342,312.957916]
[667.027710,168.816589]
[459.794434,200.916702]
[811.163025,352.369446]
[393.092896,171.930557]
[661.034546,28.021093]
[450.699738,199.159286]
[720.070618,349.951630]
[450.699249,199.155807]
[-1.000000,-1.000000]
[708.676331,361.731720]
[567.311218,223.407272]
[13.947336,319.951477]
[-1.000000,-1.000000]
[817.896362,216.555389]
[642.465210,292.600342]
[567.298462,223.425385]
[665.631653,167.409668]
[-1.000000,-1.000000]
[811.433716,323.859894]
[689.409058,353.521790]
[817.720276,266.551270]
[810.906677,324.673462]
[494.155640,240.743301]
[27.731812,339.905334]
[653.218262,326.168488]
[828.230530,213.936096]
[708.673035,361.722656]
[739.008484,353.969543]
[622.002563,70.962585]
[818.342896,237.737030]
[88.329933,350.262421]
[8.255041,287.095093]
[409.303741,92.561028]
[814.800537,290.775665]
[-1.000000,-1.000000]
[518.829895,128.051559]
[-1.000000,-1.000000]
[549.494629,55.381737]
[-1.000000,-1.000000]
[706.055115,350.955597]
[80.347504,223.262360]
[732.134399,366.014160]
[508.306854,229.487961]
[518.833313,128.051971]
[570.252625,100.707191]
[834.991882,302.909821]
[631.158081,262.377441]
[20.768497,322.804901]
[648.006592,310.959625]
[690.869263,360.079285]
[548.894836,222.355530]
[605.506714,96.312828]
[823.334900,327.238861]
[24.223984,307.095825]
[712.010498,345.928650]
[626.996704,377.942566]
[592.514099,57.178120]
[592.467834,57.173111]
[171.760712,329.982086]
[570.283142,101.650902]
[677.374878,141.083374]
[679.051941,346.998962]
[117.958626,314.323669]
[772.252319,355.536957]
[668.968628,344.941986]
[610.958435,69.516251]
[592.504639,57.169411]
[73.038574,271.688538]
[708.646973,361.688690]
[527.850525,66.308899]
[736.581177,324.721527]
[190.583954,319.924683]
[438.994049,86.996567]
[33.753899,334.909760]
[677.236450,35.837624]
[632.578735,72.511414]
[524.189819,91.562073]
[843.393555,391.770233]
[607.356323,121.238708]
[626.492554,362.802399]
[736.192383,312.696991]
[622.019653,59.894405]
[117.965622,314.287628]
[690.981079,360.245148]
[460.498535,91.652710]
[171.796387,329.959503]
[766.873596,208.302704]
[20.891533,294.889069]
[569.580078,100.623558]
[-1.000000,-1.000000]
[773.615295,366.750854]
[739.776794,340.876312]
[559.843567,149.191208]
[545.021851,307.242188]
[159.028152,321.944153]
[330.867798,245.547363]
[432.525940,124.871826]
[577.140076,87.143013]
[843.384583,391.771759]
[84.518349,171.515533]
[653.032043,341.995789]
[508.204437,217.686066]
[549.020386,333.087402]
[812.990479,240.206253]
[548.237366,217.879974]
[774.386963,350.766418]
[560.173706,149.326599]
[385.254364,132.627899]
[828.858276,402.122040]
[672.178467,150.532684]
[555.763855,55.383083]
[606.305115,118.804161]
[509.969025,61.027435]
[100.714867,348.869751]
[432.526550,124.847000]
[810.908020,324.677216]
[171.771667,329.946625]
[650.343689,385.943268]
[596.070679,73.998215]
[632.578552,72.511612]
[157.952011,351.620453]
[653.322571,326.313202]
[626.796997,345.378815]
[668.027161,330.937073]
[450.247070,198.526993]
[171.712891,330.046692]
