[201.236069,142.975006]
[208.433868,115.565880]
[181.764420,169.496613]
[162.953522,175.673859]
[245.303604,132.925934]
[256.401550,165.596268]
[207.237457,160.793579]
[140.854111,140.694061]
[208.651001,157.682724]
[204.285324,169.192093]
[199.606720,147.012772]
[205.455322,167.792130]
[208.756714,115.063255]
[180.207764,174.469650]
[204.749756,169.003983]
[171.848328,156.813339]
[231.275391,202.266739]
[212.555893,138.330017]
[204.346069,168.800781]
[245.284058,132.810623]
[186.875397,170.432053]
[162.786377,175.441406]
[217.081589,110.279472]
[171.903320,156.797318]
[244.218994,148.482834]
[148.764664,185.094894]
[255.057022,170.753784]
[234.957169,185.888412]
[169.415665,158.578476]
[216.805344,114.850403]
[210.914902,154.284531]
[196.762360,194.082642]
[179.577316,178.659500]
[160.565659,161.248199]
[240.485809,147.851288]
[208.764023,115.013794]
[256.166412,158.752487]
[163.562119,178.777161]
[234.961212,185.888397]
[245.307907,132.819458]
[228.555084,209.120590]
[178.711456,182.811554]
[221.343170,214.154770]
[171.840607,156.829361]
[235.752121,163.801285]
[156.085434,134.797089]
[169.266602,188.022690]
[134.471909,170.918884]
[161.930695,172.065338]
[209.265472,115.899590]
[235.242172,186.203049]
[118.941856,177.457840]
[239.814529,149.312592]
[171.844910,156.819183]
[267.810120,144.675842]
[187.773743,209.722153]
[241.111313,148.397507]
[160.046036,156.238449]
[240.133835,147.892639]
[195.249191,153.905060]
[162.911789,175.493393]
[197.861542,194.249420]
[242.467224,163.356262]
[161.549026,172.224182]
[194.061050,131.223938]
[162.060898,173.702393]
[234.996658,185.891800]
[233.307190,205.286789]
[139.585876,176.143753]
[223.481918,168.162643]
[211.268463,150.409256]
[178.349670,187.274475]
[218.223679,215.979156]
[193.414383,131.479218]
[190.250946,192.306763]
[99.760880,179.732391]
[171.902725,156.800751]
[213.647354,120.482491]
[212.917404,123.477493]
[121.526215,153.758224]
[255.885605,163.835052]
[220.127274,215.171158]
[255.232132,168.221115]
[206.843979,207.459564]
[192.089813,132.313354]
[118.131058,209.892410]
[124.234512,159.757004]
[97.988914,178.640656]
[113.526176,188.539291]
[112.763725,191.539429]
[168.849945,190.823044]
[222.489731,198.079361]
[255.273102,169.564896]
[190.262268,192.328781]
[233.000305,162.922516]
[193.412964,131.479187]
[232.792145,159.457794]
[213.903000,98.772186]
[232.437393,206.189270]
[227.614792,210.202499]
[206.150696,217.073547]
[235.124146,186.144958]
[214.399170,138.251266]
[130.269211,155.136673]
[104.176880,191.321854]
[193.314667,214.379791]
[171.901367,156.782166]
[121.562805,153.555115]
[168.439423,209.102036]
[242.161499,147.716797]
[233.589371,205.865005]
[152.425018,146.347061]
[257.221680,156.055237]
[193.169724,162.207672]
[205.405304,168.135788]
[140.860229,140.689453]
[198.097183,151.039444]
[148.950699,145.413895]
[215.326614,138.178833]
[245.285767,132.920807]
[245.291641,132.947098]
[123.884209,152.534149]
[235.133530,186.148224]
[113.304344,217.287140]
[254.252502,152.964264]
[187.211502,170.316711]
[204.862244,168.878693]
[187.999329,208.719269]
[233.679169,205.190369]
[187.937073,208.842728]
[222.430115,213.633591]
[230.776108,163.331940]
[209.228714,216.954254]
[139.105927,141.504364]
[97.970879,178.642822]
[219.105301,201.316391]
[139.504333,155.336685]
[238.014160,196.946259]
[204.775192,168.481430]
[150.326172,228.625534]
[220.709213,121.382774]
[110.872391,195.442093]
[204.873444,135.770264]
[207.259735,160.343826]
[134.741211,230.193878]
[139.083618,141.499115]
[231.124634,164.137421]
[156.083832,134.784058]
[246.261871,178.800766]
[118.806190,211.708374]
[235.000168,185.893127]
[231.586823,207.474365]
[139.346756,153.727921]
[234.883255,185.918732]
[231.744720,156.076660]
[171.913147,156.763809]
[104.090004,199.456573]
[163.906342,191.999725]
[193.410736,131.483032]
[156.084885,134.786377]
[115.325653,234.325485]
[246.317871,179.078552]
[169.871582,158.594330]
[124.923157,234.099625]
[162.875580,182.760925]
[140.662506,185.677704]
[152.825211,159.928909]
[91.197495,207.345505]
[171.846497,156.819336]
[209.221024,216.933945]
[215.311340,138.171997]
[214.670502,138.217194]
