[192.954346,130.902924]
[181.219162,123.497826]
[147.788757,114.974365]
[96.769981,101.780968]
[181.217957,123.500900]
[183.574707,125.081474]
[132.995026,110.364265]
[152.108826,142.003510]
[187.335541,119.937622]
[181.086823,84.735825]
[156.289505,112.956924]
[158.254425,161.017258]
[201.419708,106.493706]
[88.471512,108.443672]
[183.255875,124.531616]
[134.164276,175.410355]
[168.333832,117.896599]
[133.116470,110.555168]
[115.820816,130.464157]
[88.472061,108.444557]
[133.507446,68.563759]
[183.023621,124.366577]
[146.351562,114.584877]
[132.994202,110.366058]
[147.818497,115.039978]
[147.770569,114.996284]
[133.516617,68.579651]
[161.275833,67.155998]
[163.585449,67.594574]
[201.423477,106.510941]
[186.818039,120.620590]
[158.093872,160.976334]
[151.987137,142.882187]
[201.925217,123.091194]
[163.304611,151.825317]
[175.211868,109.517822]
[168.328186,117.905144]
[201.420654,106.489563]
[116.303238,117.073509]
[143.466919,180.265747]
[159.286957,94.495903]
[164.186050,117.193611]
[124.466087,128.609314]
[201.404633,106.513687]
[168.339218,117.891823]
[187.348572,119.942139]
[176.729813,104.504105]
[132.290283,110.447937]
[130.996735,111.292717]
[133.161041,110.560341]
[132.995026,110.364265]
[181.104309,84.724884]
[175.550476,179.495300]
[133.514435,68.582809]
[158.885529,94.376480]
[185.261475,99.937355]
[134.165955,175.411972]
[182.193863,107.704086]
[134.168198,175.413696]
[147.099976,143.610626]
[163.307327,151.820740]
[181.087662,84.754128]
[124.467201,128.603119]
[158.841766,94.367973]
[181.094910,84.739319]
[134.578018,175.393875]
[88.471352,108.445831]
[128.296021,125.198463]
[124.462303,128.605957]
[158.873230,94.375481]
[132.148346,132.684875]
[134.688110,175.489883]
[163.578293,67.545364]
[133.456757,110.610046]
[96.490242,234.327621]
[151.991547,142.877502]
[131.997025,132.482849]
[183.166275,124.443260]
[158.035828,160.908936]
[163.306290,151.819809]
[124.461273,128.606079]
[133.510529,68.575653]
[133.457916,110.608383]
[132.999664,110.361534]
[201.407639,106.510605]
[96.774933,101.783813]
[181.087601,84.741028]
[157.950592,160.874863]
[163.589218,67.546547]
[124.462814,128.606598]
[180.379120,123.042610]
[156.288010,112.953278]
[159.286621,94.498505]
[166.921692,117.708717]
[161.516449,202.066315]
[166.616135,96.805466]
[146.358078,114.583191]
[180.576584,83.667053]
[160.059448,216.611221]
[187.154648,120.957542]
[127.620567,163.219879]
[181.079758,84.751953]
[133.459427,110.608429]
[201.417297,106.496712]
[124.464684,128.606964]
[145.710251,68.381508]
[163.577805,67.608032]
[188.927200,122.887817]
[134.688446,175.491394]
[163.579330,67.547729]
[177.561356,113.622955]
[116.341934,117.231865]
[167.137314,54.746162]
[176.240814,179.053772]
[133.511627,68.573746]
[163.578506,67.607376]
[160.091888,216.573624]
[131.902405,132.380066]
[182.015503,114.488045]
[103.892654,116.282349]
[131.952423,132.377960]
[151.999496,142.882019]
[158.852646,94.371834]
[144.283936,187.702759]
[173.836929,95.074150]
[146.365051,114.584831]
[187.864349,102.267479]
[138.359222,192.845779]
[133.457916,110.610924]
[147.749084,114.999710]
[143.846497,94.292137]
[134.690247,175.495438]
[161.486771,185.809402]
[205.507690,113.394852]
[148.657898,181.767975]
[165.671082,180.231567]
[197.711456,132.657822]
[151.495926,107.047783]
[150.812439,79.872681]
[124.462128,128.606598]
[147.600372,147.364426]
[88.471001,108.443527]
[158.024033,160.902695]
[138.388519,123.020714]
[132.159088,132.714981]
[151.066238,146.626678]
[160.782150,216.170792]
[131.139587,80.278816]
[96.491730,234.318649]
[181.218231,123.496887]
[187.374313,119.952209]
[144.101196,91.817642]
[150.237228,150.187897]
[142.616180,96.756920]
[151.666595,84.853882]
[131.135880,80.281616]
[171.853149,212.720322]
[144.423340,207.443558]
[139.593109,79.789360]
[156.288864,112.953079]
[116.044662,130.537781]
[147.817566,196.981705]
[133.179810,110.563889]
[164.909378,99.756683]
[158.238251,161.013763]
[157.953720,160.836304]
[120.112282,117.250137]
[116.296738,117.095093]
[144.421860,207.437592]
[163.348114,193.349136]
[72.600677,90.743324]
[95.602928,119.676445]
[159.287796,94.493759]
[187.456970,119.969551]
[168.328323,117.901321]
[201.405228,106.513405]
[163.304581,151.824570]
[158.249771,161.017365]
[162.451630,67.149490]
[132.291992,110.448830]
[164.611160,79.939934]
[116.044662,130.537781]
[124.462799,128.603760]
[167.954895,80.662971]
[136.070465,78.597359]
[193.936981,127.245399]
[143.993042,106.551369]
[96.790184,101.791412]
[144.386139,207.928268]
[165.685974,117.634537]
[181.106888,98.699341]
[133.520325,68.584785]
[193.629166,129.289566]
[131.925049,132.420288]
[158.846771,94.370117]
[143.887054,109.164383]
[137.733704,54.921124]
[115.574760,121.690979]
[144.420502,207.438431]
[132.070221,132.489960]
[142.829529,142.102234]
[150.755051,80.435791]
[132.191040,132.747009]
[172.315796,98.302979]
[88.545837,106.476730]
[146.029846,160.231430]
[117.457550,118.655174]
[170.880981,208.587158]
[156.288940,112.953606]
[97.793320,113.056122]
[175.678650,179.486130]
[165.868958,103.524605]
[133.126678,110.556892]
[176.627441,193.424210]
[139.150299,196.587799]
[180.541412,83.642006]
[194.388367,165.206787]
[143.537521,148.621948]
[176.625885,193.422562]
[95.584755,117.181740]
[168.476303,200.944473]
[158.255325,161.017700]
[181.788055,216.085159]
[96.801239,101.799347]
[187.355515,119.942589]
[176.624588,193.427063]
[144.347305,89.020256]
[154.888138,188.544769]
[131.147156,80.282463]
[166.588425,91.819214]
[160.226715,216.392044]
[120.239700,121.716301]
[124.463737,128.603729]
[144.474243,101.041252]
[144.421143,207.431122]
[163.577560,67.608185]
[132.036209,132.416748]
[158.204224,161.001892]
[198.935776,114.044937]
[143.737656,202.468475]
[151.784790,142.810455]
[150.646530,99.556839]
[182.526154,103.330811]
[164.662598,108.536415]
[170.029526,108.142006]
[161.416855,81.561729]
[139.156738,202.320618]
[131.133133,80.287750]
[174.491257,179.593887]
[133.458160,110.611732]
[202.176147,134.712189]
[147.219818,155.951385]
[144.720535,174.038986]
[176.552841,96.913551]
[124.463699,128.609650]
[72.583084,90.729294]
[139.671936,152.037598]
[201.416428,106.496162]
[160.036179,216.662720]
[167.684784,83.612045]
[83.069489,89.383484]
[181.092834,84.749084]
[131.148224,80.282890]
[94.523750,216.673431]
[162.493347,189.906296]
[144.384598,207.910889]
[135.160553,195.595093]
[88.503624,108.415451]
[176.626892,193.423950]
[158.015915,160.881470]
[88.474564,108.446472]
[72.584961,90.728874]
[72.583931,90.727783]
[141.346924,148.108963]
[163.306030,151.820511]
[132.294373,110.448395]
