[717.462280,59.532063]
[217.621780,254.322067]
[373.587158,204.674927]
[258.409088,418.474609]
[288.357544,151.876556]
[373.591797,204.688385]
[112.234406,418.407104]
[407.397491,212.848785]
[35.476227,416.373077]
[284.791351,118.305122]
[268.832397,228.446243]
[377.929871,223.113419]
[11.160149,416.746155]
[312.276825,184.234467]
[371.184204,148.861984]
[16.595322,416.747223]
[395.033325,232.701767]
[261.721985,402.297424]
[16.599854,416.746613]
[11.158615,416.745514]
[717.506775,412.233917]
[308.576019,283.301392]
[383.681274,322.732117]
[171.443329,227.132065]
[282.374664,284.559570]
[289.553558,203.461212]
[286.116821,226.184647]
[285.000000,298.000000]
[397.881378,202.463913]
[171.453339,227.136398]
[206.773407,418.432007]
[284.778229,118.307838]
[346.270081,286.564697]
[481.133270,281.698456]
[289.553070,203.460663]
[272.775665,199.637695]
[617.288696,418.440674]
[346.259399,286.629303]
[667.268555,418.496429]
[392.476593,352.669037]
[351.340637,184.199127]
[210.069016,270.207733]
[395.034027,232.685974]
[320.413605,380.200500]
[269.683380,354.939728]
[463.661774,403.224365]
[53.649910,416.648712]
[140.442886,232.998215]
[338.430511,379.908722]
[572.372009,418.492157]
[279.190735,324.700165]
[373.578430,204.735245]
[296.000000,331.000000]
[40.000000,397.000000]
[52.855598,400.441956]
[348.846558,367.407776]
[53.027939,400.920471]
[405.379547,418.275055]
[518.162659,418.254120]
[391.000000,339.000000]
[53.648453,416.642792]
[447.000000,247.000000]
[17.840919,390.076385]
[505.439148,260.404205]
[53.032104,400.917084]
[312.069824,344.409882]
[169.834671,394.418396]
[53.652412,416.644287]
[190.399384,280.119720]
[378.428925,284.704895]
[407.413666,212.836823]
[52.927551,398.513428]
[35.470177,416.373322]
[29.804131,390.317627]
[373.594269,204.680969]
[309.158722,283.297455]
[373.593201,204.687408]
[289.550629,203.457932]
[390.003479,403.491394]
[376.065369,119.433334]
[338.430695,379.919006]
[53.271408,405.023499]
[375.000000,298.000000]
[171.446030,227.133408]
[286.116760,226.226639]
[407.399414,212.847275]
[53.651123,416.653015]
[505.470856,260.401154]
[348.000000,343.000000]
[261.652557,402.344086]
[279.191589,324.700195]
[320.411041,380.209198]
[140.605515,232.380478]
[52.896034,399.289429]
[272.774689,199.639847]
[484.973145,229.115891]
[497.401978,236.894012]
[587.954041,390.402649]
[17.171349,390.062073]
[395.031616,232.699844]
[131.253311,418.216644]
[366.000000,333.000000]
[371.000000,329.000000]
[462.050262,232.953369]
[576.000000,394.000000]
[476.577057,237.796799]
[587.942993,390.387970]
[338.429810,379.925201]
[173.889923,345.627045]
[260.661163,379.775085]
[378.436584,284.710022]
[29.817230,390.352448]
[13.281647,389.624969]
[29.804642,390.322784]
[254.068802,213.123367]
[310.010986,359.624756]
[140.600555,232.388184]
[309.168457,283.299744]
[345.206726,291.801819]
[420.918488,400.038025]
[338.432373,379.909912]
[312.277008,184.234436]
[481.135406,281.707458]
[587.950745,390.397980]
[611.802856,389.321716]
[407.400360,212.846832]
[217.624008,254.325790]
[377.941589,223.267090]
[391.000000,204.000000]
[345.177521,291.771820]
[379.491028,356.398163]
[587.950439,390.397552]
[345.200195,291.793121]
[189.000000,208.000000]
[314.777771,274.688171]
[278.000000,341.000000]
[497.449463,237.029160]
[70.000000,361.000000]
[532.589539,400.755188]
[18.752129,346.971924]
[447.260071,418.404053]
[202.231827,237.002731]
[59.109951,351.880249]
[477.704559,287.643585]
[376.155487,119.460648]
[268.000000,366.000000]
[351.341827,184.188324]
[17.138443,389.588531]
[293.709778,175.795853]
[198.616425,197.017075]
[377.937897,223.228989]
[505.376099,260.386475]
[269.690369,354.938049]
[289.546265,203.458496]
[484.974213,229.116623]
[316.624390,291.764679]
[505.431946,260.400726]
[348.845093,367.408661]
[226.766571,349.175751]
[389.000000,209.000000]
[320.413055,380.201080]
[587.945557,390.391327]
[363.000000,335.000000]
[13.576591,389.438171]
[392.000000,207.000000]
[224.683197,418.414856]
[351.000000,356.000000]
[348.847443,367.407227]
[345.193512,291.769043]
[500.000000,245.000000]
[218.000000,390.000000]
[379.104950,381.681793]
[450.000000,237.000000]
[202.190643,402.204010]
[159.000000,217.000000]
[114.490044,248.901230]
[17.182365,390.058411]
[130.559677,205.447876]
[13.749550,389.411011]
[13.407570,389.533264]
[121.904808,401.585175]
[182.000000,221.000000]
[282.374664,284.558868]
[17.190002,390.061676]
[226.766083,349.176239]
[600.000000,397.000000]
[432.624023,255.750809]
[485.557404,228.164566]
[292.000000,340.000000]
[312.286438,184.232758]
[311.989380,344.420441]
[171.444397,227.132492]
[378.437714,284.707520]
[296.000000,335.000000]
[150.715500,252.133850]
[305.069550,395.768127]
[309.165710,283.299957]
[477.862640,236.906738]
[297.109406,381.017517]
[432.551422,255.705673]
[285.000000,295.000000]
[496.612122,402.379181]
[299.000000,151.000000]
[375.000000,295.000000]
[250.000000,401.000000]
[17.191345,390.057495]
[587.947632,390.394135]
[436.000000,245.000000]
[159.000000,212.000000]
[114.952026,248.032898]
[122.328384,401.493530]
