[360.595856,240.566788]
[182.086090,139.285568]
[199.248520,121.109161]
[199.260330,121.120316]
[137.495239,181.309708]
[203.538162,162.278564]
[77.600105,60.436771]
[189.681854,169.130676]
[99.262970,159.797348]
[68.989059,76.819855]
[88.248367,113.207504]
[185.947235,169.098282]
[188.057129,115.303566]
[257.847961,153.666397]
[173.992935,162.348953]
[85.049484,79.446960]
[35.824009,85.021004]
[68.964836,76.803123]
[35.704582,84.688919]
[216.232071,186.547699]
[284.543640,167.879730]
[88.248848,113.208046]
[100.277550,115.329292]
[35.962852,85.373955]
[152.638763,155.911011]
[88.248215,113.208847]
[107.969666,114.473648]
[216.234360,186.546036]
[60.178555,66.048409]
[99.177254,159.810532]
[72.657425,95.357201]
[186.099777,169.546097]
[68.979141,76.834778]
[104.674515,119.856735]
[223.601440,197.395325]
[186.001251,169.050125]
[203.536758,162.288254]
[128.742310,170.060318]
[52.151024,34.338806]
[270.847473,157.564163]
[229.533203,201.604691]
[73.296768,95.189537]
[66.607910,46.031395]
[68.989685,76.837051]
[241.261581,209.293686]
[73.298241,95.189796]
[88.247635,113.210869]
[104.570335,128.387329]
[153.630371,156.483139]
[120.869759,166.831192]
[172.087067,170.175018]
[139.434906,128.610886]
[199.250381,121.113937]
[241.260712,209.294861]
[277.590790,163.229019]
[188.808670,155.191879]
[108.596046,124.413322]
[276.720398,162.639053]
[103.286606,110.352058]
[46.578426,54.856205]
[203.533936,162.289215]
[59.091286,47.018898]
[236.235504,138.790314]
[68.987000,76.825188]
[52.295547,101.965149]
[46.657906,100.363373]
[45.407539,58.409939]
[124.028206,142.746735]
[257.565002,153.366455]
[257.575439,153.365875]
[188.849304,155.110901]
[94.982635,127.137535]
[73.216705,95.118385]
[280.674896,164.797195]
[52.287579,34.424004]
[60.509464,105.731758]
[241.208359,209.305710]
[69.012497,76.630081]
[99.157486,159.819122]
[119.877052,169.830292]
[61.766979,29.008600]
[52.297863,34.407120]
[72.684525,95.344505]
[216.229385,186.549683]
[203.534927,162.288589]
[188.901840,155.000183]
[99.151367,159.822128]
[287.969360,178.311691]
[104.665062,119.867470]
[44.773834,97.355560]
[181.862198,138.347839]
[223.916275,138.386749]
[203.533768,162.289169]
[124.018593,142.741837]
[241.192352,209.320526]
[48.292885,98.869469]
[72.865967,95.266548]
[88.247833,113.208580]
[192.097809,157.097198]
[76.601242,111.318077]
[88.248108,113.208443]
[73.234039,95.126808]
[192.818665,162.109512]
[179.520660,94.902718]
[137.497711,181.311630]
[199.248703,121.106964]
[226.783371,190.558029]
[216.234665,186.546127]
[104.531250,101.368202]
[216.231018,186.548492]
[104.021523,116.388527]
[40.776306,96.298653]
[231.560379,138.533051]
[38.284790,68.980583]
[153.630981,156.483246]
[88.248550,113.205673]
[287.982239,178.310226]
[61.071384,59.278114]
[287.968903,178.312241]
[158.979095,121.186989]
[223.917099,138.387070]
[123.206406,142.536957]
[61.827991,29.074245]
[147.824554,122.904144]
[108.432579,100.455116]
[133.710815,168.290817]
[236.999268,154.624710]
[35.943230,85.319107]
[111.134964,160.478851]
[188.857162,155.102463]
[287.973389,178.311310]
[186.039612,169.028732]
[124.270218,107.544403]
[167.353653,159.878799]
[52.444492,34.080975]
[124.024658,142.746155]
[97.784363,129.232056]
[186.553833,142.688004]
[257.850525,153.664551]
[236.237167,138.791061]
[123.202873,142.538467]
[124.856262,168.941086]
[263.659790,179.152130]
[204.433884,135.745087]
[241.191589,209.297867]
[163.700027,155.805771]
[47.385582,49.984650]
[257.851440,153.663452]
[137.496124,181.310150]
[201.879257,178.098099]
[113.117264,134.496887]
[229.581039,198.559402]
[259.586060,212.688980]
[110.297318,103.491142]
[248.178101,187.477280]
