[173.964508,352.089813]
[330.667206,288.531281]
[143.425659,349.179077]
[143.426163,349.161102]
[143.430344,349.177429]
[143.422333,349.182098]
[278.783051,292.545319]
[248.871521,267.543610]
[143.045258,349.460663]
[360.053558,386.485809]
[360.057159,386.488007]
[370.620148,419.411713]
[248.867218,267.528748]
[370.617035,419.410919]
[378.960968,233.539490]
[278.826080,292.580536]
[360.065216,386.480316]
[572.086548,185.083588]
[141.983582,361.878082]
[346.413452,272.620514]
[334.156311,171.539352]
[361.093079,265.695618]
[143.428665,349.180298]
[370.613281,419.396210]
[305.472443,331.535614]
[248.866684,267.528748]
[567.025269,205.630325]
[399.173096,177.957352]
[296.943878,322.546722]
[277.446106,292.434204]
[340.155182,132.999939]
[340.146362,228.178436]
[340.155182,132.999939]
[141.999390,339.005646]
[378.536621,117.339966]
[316.341736,343.232330]
[172.979980,340.024475]
[572.108521,185.098526]
[337.873688,267.801270]
[399.226440,178.154510]
[145.974960,362.901886]
[320.311646,34.736259]
[316.217133,166.946823]
[342.731201,371.995087]
[316.185852,338.561859]
[370.622681,419.413116]
[510.872772,287.813812]
[177.991257,340.010132]
[510.870697,287.808441]
[333.838318,363.464142]
[173.318665,325.764618]
[-1.000000,-1.000000]
[352.137177,259.483887]
[342.689148,276.948212]
[356.760284,264.989685]
[143.029785,349.476257]
[173.318695,325.764923]
[284.353699,298.068329]
[322.971436,345.451202]
[479.533539,53.373287]
[339.130127,251.747345]
[325.370544,352.649872]
[572.081238,185.066528]
[-1.000000,-1.000000]
[191.516663,151.367935]
[325.741211,341.213959]
[463.112732,255.087509]
[304.293976,336.174866]
[480.355103,351.643951]
[463.097076,254.841461]
[330.675262,288.529297]
[333.612488,144.719803]
[143.029068,349.480042]
[320.175812,348.872223]
[370.613098,419.403198]
[311.269623,338.629730]
[362.879059,444.878937]
[163.937653,335.986206]
[248.868652,267.575195]
[340.072052,192.777924]
[248.866058,267.533966]
[-1.000000,-1.000000]
[354.619690,262.489685]
[340.153748,228.190231]
[351.830078,234.273026]
[287.616638,303.049927]
[316.669983,315.866486]
[318.288727,344.556793]
[349.076630,278.310608]
[458.444550,214.164459]
[572.090698,185.103531]
[278.613770,310.639771]
[355.499146,240.991714]
[330.675659,288.531647]
[464.637268,197.556030]
[-1.000000,-1.000000]
[510.874603,287.814453]
[435.188934,199.152496]
[451.287781,359.433533]
[-1.000000,-1.000000]
[360.767853,195.070358]
[316.823975,333.628601]
[346.743958,200.455139]
[334.788818,350.164124]
[143.030640,349.471375]
[292.232941,312.965271]
[350.652283,196.461761]
[458.462128,214.177155]
[631.032959,361.697510]
[294.904938,311.431458]
[438.376373,132.879990]
[168.946396,338.029968]
[316.222015,166.922073]
[370.628113,419.425690]
[389.992371,274.833282]
[368.223206,430.949615]
[360.070587,386.479462]
[463.118896,255.064606]
[373.394531,144.762650]
[341.750519,200.529480]
[226.311279,298.408813]
[260.791595,276.936584]
[373.392151,144.764648]
[360.828461,194.590729]
[608.597046,302.959412]
[330.669586,288.534027]
[353.680634,271.080170]
[360.044281,386.491272]
[330.777496,343.988770]
[451.287323,359.433319]
[479.516388,53.364281]
[351.539246,374.444153]
[350.847107,200.207016]
[370.625641,419.425171]
[480.642639,351.247559]
[-1.000000,-1.000000]
[439.731506,237.309875]
[360.050690,386.489441]
[-1.000000,-1.000000]
[293.649963,310.018005]
[173.993500,352.094940]
[-1.000000,-1.000000]
[243.380035,438.943695]
[154.991898,335.962494]
[353.903778,247.111679]
[362.705231,399.678986]
[-1.000000,-1.000000]
[157.944992,335.967041]
[316.216858,166.966034]
[443.316895,167.043457]
[375.892822,180.281555]
[316.221558,166.947250]
[169.946075,341.044220]
[354.491058,229.693527]
[479.533539,53.373287]
[389.861023,183.221146]
[426.795685,230.444519]
[332.569275,156.644669]
[360.046692,386.491516]
[448.201233,404.876129]
[351.826538,185.384842]
[-1.000000,-1.000000]
[335.238525,259.609253]
[435.317444,275.176086]
[476.300385,174.557785]
[300.846405,313.498535]
[345.838806,260.275970]
[328.037170,338.598145]
[173.992661,352.094543]
[320.360504,333.772522]
[339.509247,247.985840]
[525.352539,269.029175]
[173.319733,325.763611]
[297.307068,268.476868]
[378.933441,233.563477]
[454.605927,413.487579]
[401.978241,279.444885]
[373.396088,144.742157]
[346.426605,266.179596]
[451.105072,247.664261]
[378.535645,117.332924]
[191.516418,151.368179]
[352.662018,276.438873]
[458.476318,214.170639]
[357.608521,178.409378]
[159.476013,16.730175]
[337.739410,198.362473]
[398.247681,218.877243]
[347.937012,186.828156]
[308.182220,323.900482]
[125.199722,359.255981]
[319.378571,336.459839]
[363.339905,398.397095]
[-1.000000,-1.000000]
[374.977936,173.537354]
[352.745453,242.174606]
[451.286591,359.438690]
[320.847382,341.096832]
[290.479980,315.500427]
[340.392456,133.040405]
[375.726532,178.671295]
[-1.000000,-1.000000]
[484.160614,171.761108]
[458.483276,214.175186]
[-1.000000,-1.000000]
[429.319153,150.125900]
[125.201149,355.216461]
[435.186218,199.148209]
[188.554901,366.626556]
[437.358185,289.154510]
[350.300507,192.062149]
[262.328125,257.268860]
[226.258789,298.052399]
[349.357239,265.193359]
[360.308319,444.412659]
[398.246277,218.897675]
[608.595459,302.954681]
[441.418243,141.873047]
[-1.000000,-1.000000]
[322.883514,333.120850]
[343.333588,282.108734]
[-1.000000,-1.000000]
[366.257507,398.651154]
[-1.000000,-1.000000]
[360.071594,386.479645]
[431.139191,182.530869]
[360.075653,386.471497]
[212.758331,237.847656]
[387.261139,183.459991]
[303.327698,320.704742]
[362.146454,396.706573]
[373.396027,144.742310]
[367.955902,394.680511]
[417.998260,284.910980]
[462.101532,274.734314]
[360.058350,386.487640]
[349.830505,370.889648]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[380.566101,169.179703]
[480.357269,351.645355]
[244.808304,345.954224]
[330.669586,288.534027]
[334.161194,201.942062]
[173.318665,325.764618]
[377.048584,190.357956]
[319.411865,280.920746]
[480.641754,351.247711]
[264.387634,275.881592]
[297.312347,268.460632]
[345.282196,252.999466]
[212.763977,237.843918]
[386.798889,174.359207]
[329.296936,176.320038]
[127.961449,363.036377]
[340.577271,362.257599]
[399.202576,177.979858]
[419.405304,181.146072]
[278.784180,292.544067]
[471.619507,226.555054]
[394.515472,128.780167]
[572.101379,185.046753]
[131.939514,363.952942]
[428.237518,273.901764]
[320.106262,329.949951]
[450.101959,252.888794]
[353.197937,192.993164]
[473.431641,180.903671]
[128.997192,353.045807]
[-1.000000,-1.000000]
[360.069794,386.474457]
[226.321152,298.408051]
[458.430176,214.164536]
[436.923859,355.094788]
[110.550377,435.453125]
[191.514603,151.373962]
[132.011429,359.069946]
[-1.000000,-1.000000]
[374.953125,170.636063]
[394.927124,187.127823]
[373.394379,144.758392]
[-1.000000,-1.000000]
[435.191101,199.149353]
[448.277863,271.950653]
[434.311432,307.302246]
[387.228149,266.734650]
[375.894806,180.281998]
[313.480408,332.224060]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[438.405304,132.872986]
[226.313828,298.409454]
[-1.000000,-1.000000]
[339.939545,260.116577]
[290.135651,309.973755]
[420.173615,225.197922]
[362.681763,439.934509]
[317.158051,315.327087]
[296.601685,315.106964]
[435.190277,199.127136]
[-1.000000,-1.000000]
[463.115967,255.077744]
[-1.000000,-1.000000]
[191.517715,151.372894]
[362.699982,399.679840]
[389.775848,218.641037]
[339.898712,364.328461]
[262.628021,267.992188]
[438.438507,166.467636]
[417.730469,359.110016]
[239.821564,310.093903]
[373.392181,144.774033]
[-1.000000,-1.000000]
[382.724792,173.087479]
[340.154755,228.191193]
[378.533569,117.346222]
[293.150940,315.805573]
[438.406250,132.882004]
[-1.000000,-1.000000]
[110.549263,435.446960]
[212.764450,237.844055]
[324.710297,335.906647]
[-1.000000,-1.000000]
[557.310852,200.908890]
[-1.000000,-1.000000]
[408.470978,287.375397]
[-1.000000,-1.000000]
[357.645050,178.556137]
[417.201385,177.512680]
[-1.000000,-1.000000]
[260.495605,265.154785]
[374.379669,177.103516]
[388.038818,177.846039]
[319.545410,280.875702]
[296.900146,316.195862]
[525.348511,269.063843]
[319.564117,280.869385]
[-1.000000,-1.000000]
[431.995819,145.731369]
[-1.000000,-1.000000]
[226.308426,298.408844]
[362.701904,399.679352]
[-1.000000,-1.000000]
[362.482910,425.559814]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[268.496155,276.471649]
[334.156311,171.539352]
[-1.000000,-1.000000]
[316.080933,326.513763]
[631.032959,361.697510]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[173.986816,352.100769]
[336.646729,342.630981]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[166.108185,367.021820]
[-1.000000,-1.000000]
[363.095276,448.582764]
[387.580383,235.879196]
[410.563660,335.918793]
[390.006409,274.830475]
[426.850220,231.126678]
[350.656006,248.926346]
[375.771576,184.432556]
[435.388977,146.960922]
[-1.000000,-1.000000]
[389.982117,274.831696]
[324.117676,322.906494]
[572.097534,185.041245]
[339.264252,220.318542]
[364.072998,403.727325]
[-1.000000,-1.000000]
[378.962982,233.538315]
[-1.000000,-1.000000]
[568.933777,195.240891]
[391.068237,221.420578]
[330.675262,288.529297]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[334.156525,171.538818]
[-1.000000,-1.000000]
[159.470856,16.712994]
[426.863647,231.049255]
[267.633484,262.620178]
[-1.000000,-1.000000]
[373.391449,144.770737]
[-1.000000,-1.000000]
[444.819580,286.228546]
[362.699982,399.679840]
[173.988464,352.094086]
[480.640594,351.252594]
[378.960785,233.537567]
[378.538574,117.340096]
[-1.000000,-1.000000]
[212.757126,237.834518]
[524.808777,269.803284]
[331.183136,44.215263]
[435.188110,199.130630]
[480.625336,351.261047]
[-1.000000,-1.000000]
[360.055084,386.488739]
[-1.000000,-1.000000]
[318.459503,323.823547]
[-1.000000,-1.000000]
[426.605438,230.189865]
[-1.000000,-1.000000]
[352.643677,162.481140]
[425.511810,179.897308]
[320.278778,34.743576]
[268.595398,308.874176]
[373.393829,144.746170]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[412.471954,224.096542]
[327.762177,148.480164]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[363.992279,436.972321]
[241.680481,333.720490]
[451.287720,359.433228]
[-1.000000,-1.000000]
[487.908264,184.466797]
[265.918274,281.846344]
[361.891724,260.636871]
[-1.000000,-1.000000]
[439.731476,237.307510]
[-1.000000,-1.000000]
[316.162994,155.754669]
[433.277100,334.311432]
[469.675018,224.482147]
[-1.000000,-1.000000]
[334.392487,178.250961]
[-1.000000,-1.000000]
[362.699585,399.679016]
[347.127014,245.603867]
[321.955414,323.620850]
[479.516815,53.373127]
[330.674561,288.529358]
[244.809341,345.982208]
[400.389832,367.598755]
[294.578796,325.659363]
[-1.000000,-1.000000]
[317.153656,315.318909]
[524.806763,269.814270]
[361.025146,243.538971]
[151.000107,364.892090]
[-1.000000,-1.000000]
[166.121750,367.026123]
[-1.000000,-1.000000]
[362.697205,399.678223]
[415.751923,222.562317]
[344.482483,262.996887]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[440.006500,268.712952]
[373.393280,144.775406]
[452.739166,290.675934]
[389.987915,274.839050]
[315.810028,282.663971]
[333.138184,41.149929]
[-1.000000,-1.000000]
[572.111206,185.082626]
[244.814026,345.960571]
[413.774323,289.881134]
[439.731476,237.307510]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[424.373077,349.786957]
[-1.000000,-1.000000]
[377.942474,282.193298]
[390.174561,155.434021]
[357.564575,411.377289]
[-1.000000,-1.000000]
[317.302429,315.535889]
[472.121857,225.962753]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[278.822327,292.579010]
[371.824921,245.610107]
[159.478424,16.750565]
[-1.000000,-1.000000]
[339.263245,220.325974]
[-1.000000,-1.000000]
[-1.000000,-1.000000]
[463.117126,255.069199]
[-1.000000,-1.000000]
[424.197540,321.029663]
[457.014679,271.953125]
[-1.000000,-1.000000]
[370.176605,227.964111]
